Day,Type,When,What,Track,Paper,Room,Author,Title,Link,CoAuthor,IsSolo
Tue,ECR Workshop,1400-1430,Welcome,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#4d7ab0;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
Tue,ECR Workshop,1430-1530,Workshop 1,Workshop 1,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#4d7ab0;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
Tue,ECR Workshop,,,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#4d7ab0;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Paul Norman,Guide to publishing,,,1
Tue,ECR Workshop,1530-1600,Coffee Break,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#8c4772;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
Tue,ECR Workshop,1600-1700,Workshop 2,Workshop 2,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#4d7ab0;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
Tue,ECR Workshop,,,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#4d7ab0;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Fran Pontin,Building Impact into your research,,,1
Tue,ECR Social,1830-,Dinner+Social,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#9a9a9a;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
Wed,ECR Workshop,1000-1200,Workshop 3,Workshop 3,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#4d7ab0;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
Wed,ECR Workshop,,,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#4d7ab0;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Elisabetta Pietrostefani,Navigating the Night: A Hands-On Workshop with Night Lights and Spatial Data in R,,,1
Wed,GISRUK Opens,1100-1300,Registration+Lunch,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#8c4772;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
